Rxn	Genes
R10634_1	[['YDL042C'], ['YDR191W'], ['YOL068C'], ['YOR025W'], ['YPL015C'], ['YDL042C'], ['YDL042C'], ['YDR191W'], ['YDR191W'], ['YOL068C'], ['YOL068C'], ['YOR025W'], ['YOR025W'], ['YPL015C'], ['YPL015C']]
R10634_2	[['YDL042C'], ['YDR191W'], ['YOR025W'], ['YPL015C'], ['YDL042C'], ['YDL042C'], ['YDR191W'], ['YDR191W'], ['YOR025W'], ['YOR025W'], ['YPL015C'], ['YPL015C']]
R10634_3	[['YDR191W'], ['YDR191W'], ['YDR191W']]
R07483_1	[['YNL280C'], ['YNL280C'], ['YNL280C']]
R07483_2	[['YNL280C'], ['YNL280C'], ['YNL280C']]
R07483_3	[['YNL280C'], ['YNL280C'], ['YNL280C']]
R01229_1	[['YDR399W'], ['YML022W'], ['YDR399W'], ['YML022W']]
R01229_2	[['YDR399W'], ['YDR441C'], ['YML022W'], ['YDR399W'], ['YDR441C'], ['YML022W']]
R01602_1	[['YBR019C'], ['YBR019C']]
R04430_1	[['YKL182W'], ['YKL182W'], ['YKL182W']]
R04430_2	[['YKL182W'], ['YKL182W'], ['YKL182W'], ['YPL231W'], ['YPL231W']]
R04430_3	[['YBR026C'], ['YKL182W'], ['YKL182W'], ['YKL182W'], ['YBR026C'], ['YBR026C'], ['YPL231W'], ['YPL231W']]
R00727_1	[['YGR244C'], ['YOR142W'], ['YOR142W'], ['YGR244C']]
R00727_2	[['YGR244C'], ['YOR142W'], ['YOR142W'], ['YGR244C']]
R00269_1	[['YLR351C'], ['YLR351C']]
R00269_2	[['YLR351C'], ['YLR351C']]
R00896_1	[['YLR027C'], ['YLR027C']]
R00896_2	[['YLR027C'], ['YLR027C']]
R00896_3	[['YKL106W'], ['YKL106W']]
R04247_1	[['YGR007W'], ['YGR007W']]
R04247_2	[['YGR007W'], ['YGR007W']]
R03460_1	[['YDR127W'], ['YDR127W']]
R07024_1	[['YIR038C'], ['YIR038C']]
R07024_2	[['YIR038C'], ['YIR038C']]
R07024_3	[['YIR038C'], ['YIR038C']]
R07024_4	[['YNL229C'], ['YNL229C']]
R07024_5	[['YIR038C'], ['YIR038C']]
R07024_6	[['YIR038C'], ['YIR038C']]
R07024_7	[['YIR038C'], ['YIR038C']]
R00196_1	[['YML054C'], ['YML054C']]
R00196_2	[['YML054C'], ['YML054C']]
R00196_3	[['YML054C'], ['YML054C']]
R00196_4	[['YML054C'], ['YML054C']]
R00943_1	[['YGR204W'], ['YGR204W']]
R00943_2	[['YBR084W'], ['YGR204W'], ['YBR084W'], ['YGR204W']]
R00943_3	[['YBR084W'], ['YBR084W']]
R04773_1	[['YGR264C'], ['YGR264C']]
R04773_2	[['YGR171C'], ['YGR171C']]
R04639_1	[['YGR267C'], ['YGR267C']]
R04639_2	[['YGR267C'], ['YGR267C']]
R01086_1	[['YHR018C'], ['YHR018C']]
R01934_1	[['YIL094C'], ['YIL094C'], ['YIL094C']]
R00891_1	[['YGR155W'], ['YGR155W']]
R00891_2	[['YGR155W'], ['YGR155W']]
R04378_1	[['YML022W'], ['YML022W']]
R04378_2	[['YDR441C'], ['YML022W'], ['YDR441C'], ['YML022W']]
R04445_1	[['YHR037W'], ['YHR037W'], ['YHR037W']]
R04445_2	[['YHR037W'], ['YHR037W'], ['YHR037W']]
