Rxn	Genes	GPR rule
R_Ex_biomass	[]	
R_Ex_glucose	[['6513'], ['6514'], ['81031'], ['6517'], ['154091'], ['11182'], ['29988'], ['144195'], ['6515'], ['6524'], ['91749'], ['50651'], ['125206'], ['200010'], ['6527']]	6514 or 50651 or 81031 or 154091 or 6515 or 29988 or 144195 or 125206 or 6524 or 200010 or 6527 or 11182 or 6517 or 6513 or 91749
R_Ex_lactateL	[['366'], ['6566'], ['9121'], ['151473'], ['162515'], ['387700'], ['9120'], ['220963'], ['201232'], ['9194'], ['9123'], ['9122'], ['23539'], ['9390'], ['387775'], ['387601'], ['160728'], ['159963']]	159963 or 9120 or 220963 or 160728 or 9390 or 9194 or 9123 or 9122 or 201232 or 23539 or 387700 or 162515 or 151473 or 366 or 6566 or 387601 or 387775 or 9121
R_Ex_O2	[]	
R_Ex_glutamine	[['7504'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['10991'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6510'], ['84889'], ['6542'], ['11136'], ['23428'], ['56301'], ['9056'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 120103 or 124565 or 153129 or 9056 or 84889 or 146167 or 55238 or 145389 or 10991 or 92745 or 55089 or 6542 or 151258 or 7504 or 56301 or 206358 or 54868 or 140679 or 54716 or 23428 or 81539 or 285641 or 54407 or 11136 or 153201
R_Ex_Palmitate	[['6566'], ['9121'], ['151473'], ['162515'], ['387700'], ['9120'], ['220963'], ['201232'], ['9194'], ['9123'], ['9122'], ['387775'], ['387601'], ['159963'], ['7350'], ['5243'], ['5825'], ['215'], ['225'], ['10999'], ['28965'], ['11000'], ['10998'], ['11001'], ['376497'], ['2806'], ['948']]	(28965 and (162515 or 6566 or 9194 or 387700)) or 5825 or 9120 or 220963 or 376497 or 9123 or 201232 or 10999 or 215 or 11001 or 2806 or 387775 or 159963 or 10998 or 9121 or 7350 or 9122 or 948 or 225 or 151473 or 387601 or 11000 or 5243
R_Ex_glutamate	[['5663'], ['57030'], ['57084'], ['246213'], ['55867'], ['6582'], ['7504'], ['121260'], ['6565'], ['6564'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6505'], ['6512'], ['6507'], ['6506'], ['6511'], ['6510'], ['8604'], ['10165'], ['79751'], ['83733'], ['9016'], ['253512'], ['84889'], ['6542'], ['23657'], ['6520'], ['11136'], ['56301'], ['9056'], ['9057'], ['157724'], ['8140'], ['64849'], ['9058'], ['284111'], ['11309'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((567 and 3105 and 3117 and 6520) or (6890 and 3105 and 6892) or (3119 and 6510 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6520) or (6506 and 3119 and 3117) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3105 and 8140 and 6520) or (8140 and 5663) or (6506 and 8140) or (8140 and 6510) or (8140 and 6892) or (3117 and 972)) or 120103 or 121260 or 153129 or 79751 or 64849 or 284111 or 23657 or 92745 or 11309 or 54716 or 81539 or 6564 or 8604 or 25825 or 6565 or 6507 or 23457 or 6505 or 55238 or 6511 or 6542 or 7504 or 157724 or 206358 or 54868 or 6382 or 10165 or 54407 or 6512 or 11136 or 57084 or 9056 or 84889 or 146167 or 145389 or 56301 or 140679 or 9016 or 285641 or 5243 or 10269 or 9058 or 9057 or 124565 or 246213 or 6582 or 55867 or 253512 or 55089 or 151258 or 57030 or 177 or 83733 or 153201
R_Ex_arginines	[['5663'], ['6582'], ['7504'], ['121260'], ['6565'], ['6564'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6510'], ['83884'], ['123096'], ['84889'], ['6542'], ['6541'], ['11136'], ['56301'], ['9056'], ['9057'], ['8140'], ['54896'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((3105 and 567 and 3117) or (6890 and 3105 and 6892) or (3119 and 6510 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6892) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3105 and 8140 and 6892) or (8140 and 5663) or (8140 and 6510) or (3117 and 972)) or 120103 or 121260 or 153129 or 9056 or 84889 or 146167 or 145389 or 83884 or 92745 or 56301 or 123096 or 140679 or 54716 or 6541 or 81539 or 285641 or 6564 or 5243 or 10269 or 9057 or 124565 or 25825 or 6565 or 6582 or 23457 or 55238 or 55089 or 6542 or 54896 or 151258 or 7504 or 206358 or 54868 or 6382 or 54407 or 177 or 11136 or 153201
R_Ex_folate	[['113235'], ['81034'], ['9016'], ['253512'], ['64849'], ['9058'], ['284111'], ['6573'], ['9429'], ['10057'], ['4363']]	81034 or 9058 or 4363 or 113235 or 9016 or 253512 or 64849 or 10057 or 284111 or 9429 or 6573
R_Ex_urea	[['6563'], ['8170'], ['364']]	8170 or 364 or 6563
R_Ex_NH3	[['8645'], ['51458'], ['57127'], ['6005'], ['6006'], ['6007'], ['343'], ['361']]	6005 or 8645 or 51458 or 6007 or 361 or 57127 or 6006 or 343
R_Ex_citratec	[['89874'], ['6576'], ['9058'], ['284111']]	9058 or 89874 or 284111 or 6576
R_Ex_Carnitine	[['85413'], ['6582'], ['1374']]	85413 or 1374 or 6582
R_Ex_AKG	[['8402'], ['89874'], ['9016'], ['253512'], ['64849'], ['9058'], ['284111']]	9058 or 89874 or 9016 or 253512 or 64849 or 284111 or 8402
R_Ex_proline	[['7504'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['6534'], ['6539'], ['54716'], ['6510'], ['84889'], ['6542'], ['11136'], ['23428'], ['56301'], ['9056'], ['9057'], ['8140']]	(8140 and 6510) or 6534 or 9057 or 120103 or 124565 or 153129 or 6539 or 9056 or 84889 or 146167 or 55238 or 145389 or 92745 or 55089 or 6542 or 151258 or 7504 or 56301 or 206358 or 54868 or 140679 or 54716 or 23428 or 81539 or 285641 or 54407 or 11136 or 153201
R_Ex_alanine	[['7504'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['10991'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6509'], ['6510'], ['84889'], ['6542'], ['11136'], ['23428'], ['56301'], ['9056'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 120103 or 124565 or 153129 or 9056 or 84889 or 146167 or 55238 or 145389 or 10991 or 92745 or 55089 or 6542 or 151258 or 7504 or 56301 or 206358 or 54868 or 140679 or 54716 or 23428 or 6509 or 81539 or 285641 or 54407 or 11136 or 153201
R_Ex_aspartate	[['5663'], ['6582'], ['7504'], ['121260'], ['6565'], ['6564'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6505'], ['6507'], ['6506'], ['6511'], ['6510'], ['8604'], ['10165'], ['83884'], ['9016'], ['253512'], ['123096'], ['84889'], ['6542'], ['6541'], ['11136'], ['56301'], ['9056'], ['9057'], ['157724'], ['8140'], ['54896'], ['64849'], ['9058'], ['284111'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((3105 and 567 and 3117) or (6890 and 3105 and 6892) or (3119 and 6510 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6892) or (6506 and 3119 and 3117) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3105 and 8140 and 6892) or (8140 and 5663) or (6506 and 8140) or (8140 and 6510) or (3117 and 972)) or 120103 or 121260 or 153129 or 9056 or 84889 or 146167 or 64849 or 145389 or 284111 or 83884 or 92745 or 56301 or 123096 or 140679 or 54716 or 9016 or 6541 or 81539 or 285641 or 6564 or 5243 or 9058 or 10269 or 8604 or 124565 or 9057 or 6565 or 25825 or 6582 or 6507 or 23457 or 6505 or 55238 or 253512 or 6511 or 55089 or 6542 or 54896 or 151258 or 7504 or 157724 or 206358 or 54868 or 6382 or 10165 or 54407 or 177 or 11136 or 153201
R_Ex_asparagine	[['7504'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['10991'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6510'], ['84889'], ['6542'], ['11136'], ['23428'], ['56301'], ['9056'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 120103 or 124565 or 153129 or 9056 or 84889 or 146167 or 55238 or 145389 or 10991 or 92745 or 55089 or 6542 or 151258 or 7504 or 56301 or 206358 or 54868 or 140679 or 54716 or 23428 or 81539 or 285641 or 54407 or 11136 or 153201
R_Ex_serine	[['7504'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6509'], ['6510'], ['84889'], ['6542'], ['11136'], ['23428'], ['56301'], ['9056'], ['9057'], ['8140'], ['10955']]	(8140 and 6510) or 9057 or 120103 or 124565 or 153129 or 10955 or 9056 or 84889 or 146167 or 55238 or 145389 or 92745 or 55089 or 6542 or 151258 or 7504 or 56301 or 206358 or 54868 or 140679 or 54716 or 23428 or 6509 or 81539 or 285641 or 54407 or 11136 or 153201
R_Ex_glycine	[['7504'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['9152'], ['6536'], ['6539'], ['54716'], ['6510'], ['54977'], ['84889'], ['6542'], ['11136'], ['23428'], ['56301'], ['9056'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 120103 or 124565 or 9152 or 153129 or 6539 or 9056 or 84889 or 146167 or 6536 or 55238 or 145389 or 92745 or 55089 or 54977 or 6542 or 151258 or 7504 or 56301 or 206358 or 54868 or 140679 or 54716 or 23428 or 81539 or 285641 or 54407 or 11136 or 153201
R_Ex_cystine	[['7504'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6510'], ['84889'], ['6542'], ['23657'], ['6520'], ['11136'], ['23428'], ['56301'], ['9056'], ['9057'], ['8140'], ['1497']]	((23428 and 6520) or (8140 and 6510) or (8140 and 6520)) or 9057 or 120103 or 124565 or 153129 or 9056 or 84889 or 146167 or 55238 or 145389 or 23657 or 92745 or 55089 or 6542 or 151258 or 1497 or 7504 or 56301 or 206358 or 54868 or 140679 or 54716 or 81539 or 285641 or 54407 or 11136 or 153201
R_Ex_SC_mercaptopyruvatec	[['6566'], ['201232'], ['9123'], ['159963']]	9123 or 159963 or 6566 or 201232
R_Ex_SC_H2O	[['83464'], ['51107'], ['6588'], ['343'], ['282679'], ['375318'], ['363'], ['361'], ['359'], ['362'], ['366'], ['364'], ['1667'], ['728358'], ['83959'], ['135']]	359 or 364 or 135 or 83464 or 1667 or 343 or 375318 or 728358 or 361 or 83959 or 51107 or 282679 or 366 or 362 or 363 or 6588
R_Ex_SC_Pi	[['6588'], ['10786'], ['57030'], ['57084'], ['6575'], ['5250'], ['142680'], ['10568'], ['6569']]	6575 or 57084 or 5250 or 57030 or 6569 or 142680 or 10786 or 10568 or 6588
R_Ex_SC_H	[['84329'], ['684'], ['114134'], ['55858'], ['6564'], ['140679'], ['153201'], ['9481'], ['6576'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['6010']]	((1183 and 51606) or (125965 and 127124 and 1351 and 4512 and 51606 and 4513) or (125965 and 4514 and 1351 and 4513 and 51606 and 9550) or (127124 and 1351 and 4512 and 341947 and 51606 and 4513) or (526 and 9114 and 127124 and 51606) or (127124 and 1351 and 4512 and 1327 and 51606 and 4513) or (4514 and 1351 and 1327 and 4513 and 51606 and 9550) or (4514 and 1351 and 9550 and 535 and 51606 and 4513) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (285335 and 51606) or (4514 and 9550 and 341947 and 51606 and 4513) or (50617 and 4514 and 1351 and 4512 and 51606 and 4513) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (50617 and 9114 and 51606 and 9550) or (51606 and 6550) or (684 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (535 and 6548) or (6564 and 51606) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513)) or 133308 or 114134 or 150159 or 140679 or 55858 or 10479 or 6576 or 9481 or 83959 or 1497 or 84329 or 153201 or 6556 or 285195
R_DM_Glucose	[['6513'], ['6514'], ['81031'], ['6517'], ['154091'], ['29988'], ['6515'], ['6524'], ['125206'], ['200010']]	6514 or 154091 or 81031 or 6515 or 29988 or 125206 or 6524 or 200010 or 6517 or 6513
R_DM_LactateL	[['366'], ['6566'], ['201232'], ['9123'], ['9390'], ['160728'], ['159963']]	159963 or 160728 or 9390 or 9123 or 201232 or 366 or 6566
R_DM_Glutamine	[['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['6542'], ['23428'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 124565 or 153129 or 140679 or 23428 or 55238 or 81539 or 54407 or 6542 or 153201
R_DM_Palmitate	[['6566'], ['201232'], ['9123'], ['159963'], ['5243'], ['5825'], ['215'], ['225'], ['10999'], ['10998'], ['11001'], ['376497'], ['2806'], ['948']]	5825 or 159963 or 10998 or 376497 or 9123 or 201232 or 948 or 225 or 10999 or 215 or 6566 or 11001 or 2806 or 5243
R_DM_Carnitine	[['6582']]	(6582)
R_DM_Glutamate	[['5663'], ['57030'], ['57084'], ['246213'], ['55867'], ['6582'], ['121260'], ['6565'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6505'], ['6512'], ['6507'], ['6506'], ['6511'], ['6510'], ['6542'], ['23657'], ['6520'], ['9057'], ['8140'], ['64849'], ['9058'], ['284111'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['5225'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((567 and 3105 and 3117 and 6520) or (6890 and 3105 and 6892) or (3119 and 6510 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6520) or (6506 and 3119 and 3117) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3105 and 8140 and 6520) or (8140 and 5663) or (6506 and 8140) or (8140 and 6510) or (8140 and 6892) or (3117 and 972)) or 121260 or 153129 or 57084 or 64849 or 284111 or 23657 or 140679 or 81539 or 6564 or 5243 or 10269 or 9058 or 9057 or 124565 or 25825 or 6565 or 246213 or 6582 or 6507 or 55867 or 23457 or 6505 or 55238 or 6511 or 6542 or 57030 or 6382 or 5225 or 54407 or 177 or 6512 or 153201
R_DM_Arginines	[['5663'], ['6582'], ['121260'], ['6565'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['6542'], ['6541'], ['9057'], ['8140'], ['54896'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['5225'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((3105 and 567 and 3117) or (6890 and 3105 and 6892) or (3119 and 6510 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6892) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3105 and 8140 and 6892) or (8140 and 5663) or (8140 and 6510) or (3117 and 972)) or 121260 or 153129 or 140679 or 6541 or 81539 or 6564 or 5243 or 10269 or 9057 or 124565 or 25825 or 6565 or 6582 or 23457 or 55238 or 54896 or 6542 or 6382 or 5225 or 54407 or 177 or 153201
R_DM_Urea	[['364']]	(364)
R_DM_NH3	[['51458'], ['57127'], ['343'], ['361']]	343 or 57127 or 51458 or 361
R_DM_Citrate	[['6576'], ['9058'], ['284111']]	9058 or 284111 or 6576
R_DM_Folate	[['113235'], ['64849'], ['9058'], ['284111'], ['9429'], ['10057'], ['4363']]	9058 or 4363 or 113235 or 10057 or 64849 or 284111 or 9429
R_DM_AKG	[['64849'], ['9058'], ['284111']]	64849 or 9058 or 284111
R_DM_Proline	[['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6539'], ['6510'], ['6542'], ['23428'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 124565 or 153129 or 140679 or 6539 or 23428 or 55238 or 81539 or 54407 or 6542 or 153201
R_DM_Alanine	[['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6509'], ['6510'], ['6542'], ['23428'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 124565 or 153129 or 140679 or 23428 or 6509 or 55238 or 81539 or 54407 or 6542 or 153201
R_DM_Aspartate	[['5663'], ['6582'], ['121260'], ['6565'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6505'], ['6507'], ['6506'], ['6511'], ['6510'], ['6542'], ['6541'], ['9057'], ['8140'], ['54896'], ['64849'], ['9058'], ['284111'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['5225'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((3105 and 567 and 3117) or (6890 and 3105 and 6892) or (3119 and 6510 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6892) or (6506 and 3119 and 3117) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3105 and 8140 and 6892) or (8140 and 5663) or (6506 and 8140) or (8140 and 6510) or (3117 and 972)) or 121260 or 153129 or 64849 or 284111 or 140679 or 6541 or 81539 or 6564 or 5243 or 10269 or 9058 or 9057 or 124565 or 25825 or 6565 or 6582 or 6507 or 23457 or 6505 or 55238 or 6511 or 54896 or 6542 or 6382 or 5225 or 54407 or 177 or 153201
R_DM_Asparagine	[['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['6542'], ['23428'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 124565 or 153129 or 140679 or 23428 or 55238 or 81539 or 54407 or 6542 or 153201
R_DM_Serine	[['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6509'], ['6510'], ['6542'], ['23428'], ['9057'], ['8140'], ['10955']]	(8140 and 6510) or 153201 or 9057 or 124565 or 153129 or 140679 or 23428 or 6509 or 55238 or 81539 or 54407 or 6542 or 10955
R_DM_Glycine	[['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['9152'], ['6536'], ['6539'], ['6510'], ['6542'], ['23428'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 124565 or 9152 or 153129 or 140679 or 6539 or 23428 or 6536 or 55238 or 81539 or 54407 or 6542 or 153201
R_DM_putrescine	[]	
R_DM_CO2c	[]	
R_DM_10formylTHFm	[['9016'], ['253512']]	253512 or 9016
R_DM_10formylTHFc	[['64849'], ['9058'], ['284111']]	64849 or 9058 or 284111
R_DM_GSSG	[]	
R_DM_guanidinoacetatec	[]	
R_Glucose_DM_COOP	[['6513'], ['6514'], ['81031'], ['6517'], ['154091'], ['11182'], ['29988'], ['144195'], ['6515'], ['6524'], ['91749'], ['50651'], ['125206'], ['200010'], ['6527']]	6514 or 50651 or 81031 or 154091 or 6515 or 29988 or 144195 or 125206 or 6524 or 200010 or 6527 or 11182 or 6517 or 6513 or 91749
R_LactateL_DM_COOP	[['366'], ['6566'], ['9121'], ['151473'], ['162515'], ['387700'], ['9120'], ['220963'], ['201232'], ['9194'], ['9123'], ['9122'], ['23539'], ['9390'], ['387775'], ['387601'], ['160728'], ['159963']]	159963 or 9120 or 220963 or 160728 or 9390 or 9194 or 9123 or 9122 or 201232 or 23539 or 387700 or 162515 or 151473 or 366 or 6566 or 387601 or 387775 or 9121
R_Oxygen_DM_COOP	[]	
R_Glutamine_DM_COOP	[['7504'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['10991'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6510'], ['84889'], ['6542'], ['11136'], ['23428'], ['56301'], ['9056'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 120103 or 124565 or 153129 or 9056 or 84889 or 146167 or 55238 or 145389 or 10991 or 92745 or 55089 or 6542 or 151258 or 7504 or 56301 or 206358 or 54868 or 140679 or 54716 or 23428 or 81539 or 285641 or 54407 or 11136 or 153201
R_Palmitate_DM_COOP	[['6566'], ['9121'], ['151473'], ['162515'], ['387700'], ['9120'], ['220963'], ['201232'], ['9194'], ['9123'], ['9122'], ['387775'], ['387601'], ['159963'], ['7350'], ['5243'], ['5825'], ['215'], ['225'], ['10999'], ['28965'], ['11000'], ['10998'], ['11001'], ['376497'], ['2806'], ['948']]	(28965 and (162515 or 6566 or 9194 or 387700)) or 5825 or 9120 or 220963 or 376497 or 9123 or 201232 or 10999 or 215 or 11001 or 2806 or 387775 or 159963 or 10998 or 9121 or 7350 or 9122 or 948 or 225 or 151473 or 387601 or 11000 or 5243
R_Palmitate_UP_COOP	[['6566'], ['9121'], ['151473'], ['162515'], ['387700'], ['9120'], ['220963'], ['201232'], ['9194'], ['9123'], ['9122'], ['387775'], ['387601'], ['159963'], ['7350'], ['5243'], ['5825'], ['215'], ['225'], ['10999'], ['28965'], ['11000'], ['10998'], ['11001'], ['376497'], ['2806'], ['948']]	(28965 and (162515 or 6566 or 9194 or 387700)) or 5825 or 9120 or 220963 or 376497 or 9123 or 201232 or 10999 or 215 or 11001 or 2806 or 387775 or 159963 or 10998 or 9121 or 7350 or 9122 or 948 or 225 or 151473 or 387601 or 11000 or 5243
R_Glutamate_DM_COOP	[['5663'], ['57030'], ['57084'], ['246213'], ['55867'], ['6582'], ['7504'], ['121260'], ['6565'], ['6564'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6505'], ['6512'], ['6507'], ['6506'], ['6511'], ['6510'], ['8604'], ['10165'], ['79751'], ['83733'], ['9016'], ['253512'], ['84889'], ['6542'], ['23657'], ['6520'], ['11136'], ['56301'], ['9056'], ['9057'], ['157724'], ['8140'], ['64849'], ['9058'], ['284111'], ['11309'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['5225'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((567 and 3105 and 3117 and 6520) or (6890 and 3105 and 6892) or (3119 and 6510 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6520) or (6506 and 3119 and 3117) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3105 and 8140 and 6520) or (8140 and 5663) or (6506 and 8140) or (8140 and 6510) or (8140 and 6892) or (3117 and 972)) or 120103 or 121260 or 153129 or 79751 or 64849 or 284111 or 23657 or 92745 or 11309 or 54716 or 81539 or 6564 or 8604 or 25825 or 6565 or 6507 or 23457 or 6505 or 55238 or 6511 or 6542 or 7504 or 157724 or 206358 or 54868 or 6382 or 5225 or 10165 or 54407 or 6512 or 11136 or 57084 or 9056 or 84889 or 146167 or 145389 or 56301 or 140679 or 9016 or 285641 or 5243 or 10269 or 9058 or 9057 or 124565 or 246213 or 6582 or 55867 or 253512 or 55089 or 151258 or 57030 or 177 or 83733 or 153201
R_Arginine_DM_COOP	[['5663'], ['6582'], ['7504'], ['121260'], ['6565'], ['6564'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6510'], ['83884'], ['123096'], ['84889'], ['6542'], ['6541'], ['11136'], ['56301'], ['9056'], ['9057'], ['8140'], ['54896'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['5225'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((3105 and 567 and 3117) or (6890 and 3105 and 6892) or (3119 and 6510 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6892) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3105 and 8140 and 6892) or (8140 and 5663) or (8140 and 6510) or (3117 and 972)) or 120103 or 121260 or 153129 or 9056 or 84889 or 146167 or 145389 or 83884 or 92745 or 56301 or 123096 or 140679 or 54716 or 6541 or 81539 or 285641 or 6564 or 5243 or 10269 or 9057 or 124565 or 25825 or 6565 or 6582 or 23457 or 55238 or 55089 or 6542 or 54896 or 151258 or 7504 or 206358 or 54868 or 6382 or 5225 or 54407 or 177 or 11136 or 153201
R_Folate_DM_COOP	[['113235'], ['81034'], ['9016'], ['253512'], ['64849'], ['9058'], ['284111'], ['6573'], ['9429'], ['10057'], ['4363']]	81034 or 9058 or 4363 or 113235 or 9016 or 253512 or 64849 or 10057 or 284111 or 9429 or 6573
R_Urea_DM_COOP	[['6563'], ['8170'], ['364']]	8170 or 364 or 6563
R_NH3_DM_COOP	[['8645'], ['51458'], ['57127'], ['6005'], ['6006'], ['6007'], ['343'], ['361']]	6005 or 8645 or 51458 or 6007 or 361 or 57127 or 6006 or 343
R_Citrate_DM_COOP	[['89874'], ['6576'], ['9058'], ['284111']]	9058 or 89874 or 284111 or 6576
R_Carnitine_DM_COOP	[['85413'], ['6582'], ['1374']]	85413 or 1374 or 6582
R_AKG_DM_COOP	[['8402'], ['89874'], ['9016'], ['253512'], ['64849'], ['9058'], ['284111']]	9058 or 89874 or 9016 or 253512 or 64849 or 284111 or 8402
