RxnId	EC number
R02239	['K18693', '3.1.3.4', 'K18693', '3.1.3.25', 'K18693', '3.1.3.4', 'K18693', '2.7.1.1', 'K15728', '1.2.1.3']
R01185	['K01092', 'K01092']
R01186	['K01092', 'K01092']
R01187	['K01092', '4.1.2.27', 'K01092', '1.1.1.169']
R02464	['K01634']
R06516	['K01634', '1.14.18.5']
R06525	['K04713']
R06526	['K04713', '2.7.2.11']
R00239	['K00931', 'K00931', '1.2.1.88']
R05924	['K05287']
R08107	['K05287']
R12702	['K05287', '3.6.1.29']
R00187	['K01522', '2.4.1.109']
R05202	['K19786', '3.5.1.1']
R00485	['K01424', '1.8.1.9', 'K01424', '3.5.1.1', 'K01424', '3.5.1.1', 'K01424', '3.5.1.1', 'K01424']
R02016	['K00384', 'K00384']
R03596	['K00384', 'K00384']
R09372	['K00384', '2.4.2.18', 'K00384', '2.1.1.59']
R01073	['K00766', '3.2.1.14', '3.2.1.14']
R01206	['K01183', 'K01183']
R02334	['K01183', '2.4.2.8', 'K01183', '2.3.2.2']
R01132	['K19836']
R01229	['K19836', 'K00759', 'K00759']
R02142	['K19836', '3.2.2.3']
R01080	['K01240']
R01273	['K01240']
R10046	['K01240', '2.1.2.2']
R04325	['K00601']
R04326	['K00601', '2.1.1.100']
R04496	['K00587', '3.5.1.9']
R00988	['K14263']
R01959	['K14263']
R04911	['K14263']
R05916	['K03861', '2.1.1.360', '2.1.1.360', 'K03860', '2.4.1.256', 'K03858', '1.1.1.41', 'K03857', '2.5.1.141', 'K11002', '1.8.1.7', 'K03859', '2.5.1.1']
R03875	['K11427', 'K18804', 'K11422', 'K23700']
R04866	['K11427', 'K18804', 'K11422', 'K23700']
R04867	['K11427', '2.4.2.7', 'K18804', '2.1.1.354', '2.1.1.354', 'K11422', '2.7.8.1', 'K23700', '2.5.1.1']
R00190	['K00759', 'K00759']
R04378	['K00759', '2.7.4.8', 'K00759']
R00332	['K00942']
R02090	['K00942', '3.1.3.1']
R04620	['K01077', '4.1.99.12']
R07281	['K02858', '2.5.1.6']
R00177	['K00789', 'K00789']
R04771	['K00789', '3.1.3.81', 'K00789', '2.4.2.1']
R02971	['K09680']
R03018	['K09680']
R04391	['K09680', '4.2.1.130']
R09796	['K22211', '2.5.1.129', 'K22211', '4.2.1.11', 'K22211', '4.2.1.11', 'K22211', '2.1.1.10']
R01238	['K03186']
R02952	['K03186']
R03367	['K03186']
R04985	['K03186']
R04986	['K03186']
R11225	['K03186', '1.1.99.40']
R00868	['K00045', '2.3.1.36', 'K00045', '3.2.1.10', '3.2.1.10']
R03903	['K18852', '5.4.2.3', 'K18852', '7.1.1.9']
R08193	['K01836', '4.1.2.48']
R00751	['K01620']
R06171	['K01620', '3.1.3.77']
R07395	['K09880', '2.7.1.35']
R00174	['K00868', 'K00868']
R01909	['K00868', 'K00868']
R02493	['K00868', '4.1.1.23', 'K00868', '2.4.1.260']
R00965	['K01591', '2.4.1.18']
R02110	['K00700']
R01819	['K01809', '3.6.1.5']
R00086	['K14642']
R00122	['K14642']
R00155	['K14642']
R00159	['K14642']
R00328	['K14642']
R00335	['K14642']
R00514	['K14642']
R00569	['K14642']
R00719	['K14642']
R00961	['K14642']
R02092	['K14642']
R02095	['K14642', '1.3.3.4']
R03222	['K00231', 'K00231']
R04178	['K00231', '1.3.3.15', 'K00231', '6.2.1.3']
R00390	['K01897', 'K01897', 'K01897', 'K01897']
