MetaCycId	NcbiId	Uniprot	Accessions	Names	Product	Product_types
|HS05714|	241		[]	['ALOX5AP', 'FLAP']	['|ENSG00000132965-MONOMER|']	[]
|G-80687|	4715407		['YE3087']	['YE3087', 'ddhA']	['|MONOMER-21171|']	[]
|G-14651|			[]	['chiA-1', 'chiA']	['|MONOMER-16820|']	[]
|G-10230|			[]	['AvinDRAFT_8464']	['|MONOMER-13440|']	['|ENZYME|']
|BSU11670|			['BSU11670']	['yjbR', 'BSU11670', 'goxB', 'thiO']	['|BSU11670-MONOMER|']	[]
|G-17869|			[]	['mycCII']	['|MONOMER-18370|']	[]
|G-44369|			[]	['bphC']	['|MONOMER-19667|']	[]
|G6709|			['b1388', 'ECK1385']	['paaA', 'b1388', 'ECK1385', 'ydbO']	['|G6709-MONOMER|']	[]
|G-44154|			[]	['zmaM']	['|MONOMER-19446|']	[]
|G-10990|			[]	['clcB']	['|MONOMER-14404|']	[]
|G-15937|	10792162		['EAE_09820']	['iolG', 'EAE_09820']	['|MONOMER-13035|']	[]
|BSU10540|			['BSU10540']	['yhjK', 'ntdB', 'BSU10540']	['|BSU10540-MONOMER|']	[]
|G-44494|	4218652		['RHA1_ro01858']	['RHA1_ro01858', 'tsdD']	['|MONOMER-19790|']	[]
|G-80529|			[]	['aoxA']	['|MONOMER-21009|']	[]
|G-44020|	934663		['SP0415']	['SP0415', 'phaB', 'fabM']	['|MONOMER-19310|']	[]
|G185E-7181|	887446		['Rv2928']	['Rv2928', 'tesA']	['|G185E-7181-MONOMER|']	[]
|EG10890|			['b1089', 'ECK1075']	['rpmF', 'ECK1075', 'b1089']	['|EG10890-MONOMER|']	[]
|G-293|			[]	['argF']	['|ARGFBACSU-MONOMER|']	[]
|HS04567|	79903		[]	['NAA60', 'UNQ2771/PRO7155', 'NAT15']	['|ENSG00000122390-MONOMER|']	[]
|G-12234|			[]	['sdgB']	['|MONOMER-15917|']	[]
|G-4041|			[]	['nylC']	['|MONOMER-5402|', '|MONOMER-5401|']	['|ENZYME|']
|BSU15510|			['BSU15510']	['pyrAA', 'BSU15510']	['|BSU15510-MONOMER|']	[]
|G-17711|			[]	['aknA']	['|MONOMER-18201|']	[]
|G-15442|			[]	['CYP719A21']	['|MONOMER-17768|']	[]
|G6365|			['b0662', 'ECK0654']	['yleB', 'b0662', 'ubiF', 'ECK0654']	['|OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON|']	[]
|G-18035|			[]	['UGT74H6']	['|MONOMER-18567|']	[]
|G-12431|			[]	['HQT']	['|MONOMER-16127|']	[]
|G-10642|			[]	['NAS1']	['|MONOMER-13940|']	[]
|G-17994|	8787873		['Alvin_2491']	['Alvin_2491', 'soeA']	['|MONOMER-18521|']	[]
|G-43856|	937214		[]	['bacD', 'ywfE']	['|MONOMER-19123|']	[]
|EG12412|			['b2041', 'ECK2035']	['som', 'rmlB', 'b2041', 'ECK2035', 'rfbB']	['|DTDPGLUCDEHYDRAT-MONOMER|']	[]
|AT3G21750|			[]	['UGT71B1']	['|AT3G21750-MONOMER|']	[]
|G-1321|			[]	['potato starch synthase I', 'SSI']	['|MONOMER-1882|']	[]
|G-10057|			[]	['cbiL']	['|MONOMER-13216|']	['|ENZYME|']
|AT4G16566|			[]	['HINT4']	['|AT4G16566-MONOMER|']	[]
|G-3682|			[]	['gdhIV']	['|MONOMER-4746|']	['|ENZYME|']
|G-9305|			[]	['CHS4']	['|MONOMER-12011|']	[]
|G-55084|	6209752		['SGR_6890']	['bprA', 'SGR_6890']	['|MONOMER-20193|']	[]
